Run Group Frequency Power
0 4E 47 95989289.3629956
0 4E 48 96666775.39240947
0 4E 49 100709409.80042091
0 4E 50 102966369.42466196
0 4E 51 102461930.68637782
0 4E 52 103623644.87036571
0 4E 53 107371538.48971948
0 4E 54 110305951.90199624
0 4E 55 110669881.99378791
0 4E 56 108817971.28338626
0 4E 57 105970574.1222793
0 4E 58 104160218.82734036
0 4E 59 104966608.99364932
0 4E 60 107672327.67077623
0 4E 61 107981632.23575523
0 4E 62 102959525.65993606
0 4E 63 96664512.65815139
0 4E 64 95433534.83622575
0 4E 65 100281466.78680027
0 4E 66 106200829.92048757
0 4E 67 108185677.59577787
0 4E 68 106416534.33591214
0 4E 69 103229874.13475123
0 4I 3 652389459.7189865
0 4I 4 549949223.1535511
0 4I 5 545445108.9975462
0 4I 6 558164600.7439239
0 4I 7 566298753.7743946
0 4I 8 569285080.7029058
0 4I 9 567675945.379138
0 4I 10 561174734.1802847
0 4I 11 552981796.3133633
0 4I 12 545962660.4943904
0 4I 13 538902048.7161076
0 4I 14 529965085.8662485
0 4I 15 518511770.08221567
0 4I 16 507244169.67267746
0 4I 17 503537341.2376013
0 4I 18 512069502.6917765
0 4I 19 528315992.8230944
0 4I 20 539781002.4417341
0 4I 21 538561868.6139612
0 4I 22 529087691.0317116
0 4I 23 513619530.0118004
0 4I 24 491525243.372167
0 4I 25 470718870.91938174
0 4I 26 454857966.178218
0 4I 27 440468285.1205405
0 4I 28 437391764.7714107
0 4I 29 458837094.798262
0 4I 30 490850915.7852383
0 4I 31 502661603.773921
0 4I 32 483762244.47917175
0 4I 33 449525254.62878925
0 4I 34 423706126.28151643
0 4I 35 419348865.8404795
0 4I 36 422626209.4365419
0 4I 37 410378131.0947778
0 4I 38 380848533.59180653
0 4I 39 348706922.22087896
0 4I 40 321807877.6223991
0 4I 41 300546539.20542806
0 4I 42 288080707.40163386
0 4I 43 284095834.39597845
0 4I 44 283322027.5454836
0 4I 45 282317326.7169945
0 4I 46 274230306.47099125
0 4I 47 257103966.55791557
0 4I 48 242696313.10991466
0 4I 49 234399016.639565
0 4I 50 223199512.00454193
0 4I 51 212641178.16406858
0 4I 52 214767330.04669413
0 4I 53 224931619.12146237
0 4I 54 229175633.47756335
0 4I 55 225607180.07636753
0 4I 56 218608365.0123189
0 4I 57 208460199.56818962
0 4I 58 196650698.51997632
0 4I 59 188235572.2429369
0 4I 60 183736025.7678603
0 4I 61 174674430.93158224
0 4I 62 155519069.429099
0 4I 63 134365416.50271994
0 4I 64 123153496.49616532
0 4I 65 125170781.90899056
0 4I 66 133392517.41843554
0 4I 67 138122787.54573148
