Run Group Frequency Power
0 5I 44 359502465.9333623
0 5I 45 331616229.10345507
0 5I 46 309098813.8269565
0 5I 47 295408664.85723114
0 5I 48 282476569.96206355
0 5I 49 267073480.56092346
0 5I 50 249523981.96602225
0 5I 51 231167983.63194287
0 5I 52 215426010.03671312
0 5I 53 202432596.7138481
0 5I 54 188761340.32233405
0 5I 55 174367344.167943
0 5I 56 164213422.1249603
0 5I 57 158679214.48011672
0 5I 58 149873222.61478764
0 5I 59 135058431.06037426
0 5I 60 120001400.18411598
0 5I 61 107808012.16561759
0 5I 62 98448802.10457884
0 5I 63 91395997.82129
0 5I 64 84567970.48895681
0 5I 65 77441017.99203348
0 5I 66 70980680.18270628
0 5I 67 64158514.28262669
0 5I 68 55213258.99068236
0 5I 69 44889185.41747819
0 6E 3 100026823.10594276
0 6E 4 100024259.9237467
0 6E 5 100021564.24255055
0 6E 6 100020034.43677452
0 6E 7 100017868.8455233
0 6E 8 100014230.16661969
0 6E 9 100011407.5559408
0 6E 10 100008973.49911349
0 6E 11 100005035.18831025
0 6E 12 100001245.65494658
0 6E 13 99998681.5736402
0 6E 14 99995146.21865618
0 6E 15 99991052.17444919
0 6E 16 99988448.2491942
0 6E 17 99985885.14008883
0 6E 18 99982264.02461186
0 6E 19 99979839.03458822
0 6E 20 99978454.43009862
0 6E 21 99976067.98740977
0 6E 22 99974134.25720136
0 6E 23 99973904.84663218
0 6E 24 99973253.79764864
0 6E 25 99972208.99595164
0 6E 26 99972934.5270035
0 6E 27 99974089.01175591
0 6E 28 99974341.63526611
0 6E 29 99975757.11747682
0 6E 30 99978439.30664983
0 6E 31 99980158.47395808
0 6E 32 99982093.69925994
0 6E 33 99985657.25791952
0 6E 34 99988753.13362783
0 6E 35 99991093.36652118
0 6E 36 99994823.32633103
0 6E 37 99998832.92499483
0 6E 38 100001479.67892183
0 6E 39 100004738.80747847
0 6E 40 100008908.99413037
0 6E 41 100011741.3866966
0 6E 42 100014095.99948987
0 6E 43 100017620.89891939
0 6E 44 100020310.9117073
0 6E 45 100021633.62930655
0 6E 46 100023780.88123035
0 6E 47 100025920.52508146
0 6E 48 100026265.80771981
0 6E 49 100026653.18742962
0 6E 50 100027737.12265588
0 6E 51 100027251.77589753
0 6E 52 100025905.89213607
0 6E 53 100025525.64128408
0 6E 54 100024379.76530454
0 6E 55 100021671.23209792
0 6E 56 100019702.34225047
0 6E 57 100017936.1127086
0 6E 58 100014518.3274515
0 6E 59 100011159.56698757
0 6E 60 100008836.88767342
0 6E 61 100005361.01505171
0 6E 62 100001190.87372375
0 6E 63 99998377.9757937
0 6E 64 99995375.4871812
0 6E 65 99991211.84204577
0 6E 66 99988123.78312758
0 6E 67 99985919.01557758
0 6E 68 99982564.90463549
0 6E 69 99979621.55756837
0 6I 3 862862678.3263259
0 6I 4 762177349.4516938
0 6I 5 744867663.1993269
0 6I 6 745773588.2911067
0 6I 7 745063496.5635247
0 6I 8 740040432.3394418
0 6I 9 734563583.5108011
0 6I 10 730478587.3309673
0 6I 11 724066219.8787024
0 6I 12 716962007.8173795
0 6I 13 714056565.7923257
0 6I 14 710793553.8266017
0 6I 15 704674842.0085032
0 6I 16 699479258.683208
0 6I 17 691767400.1653211
0 6I 18 678973310.7503686
0 6I 19 665444755.0131743
0 6I 20 651410699.3418871
0 6I 21 635988606.7298656
0 6I 22 623674772.1348838
0 6I 23 616684405.0480634
0 6I 24 608229570.564913
0 6I 25 591587367.5964226
0 6I 26 570815655.8844521
0 6I 27 550080292.8800955
0 6I 28 527463511.8897401
0 6I 29 505826788.78099287
0 6I 30 487926032.0517213
0 6I 31 472050586.6586355
0 6I 32 459355666.5772903
0 6I 33 446491976.7755293
0 6I 34 425352176.08720255
0 6I 35 397893178.15927863
0 6I 36 374211624.49597704
0 6I 37 359387609.0023719
0 6I 38 349741765.1096584
0 6I 39 341230835.2015879
0 6I 40 333408094.291472
0 6I 41 322731662.08038306
0 6I 42 307044807.0280693
0 6I 43 290508120.25505996
0 6I 44 273871006.1118516
0 6I 45 256697035.56996143
0 6I 46 243136279.4793539
0 6I 47 232477395.48164642
0 6I 48 219793192.7845729
0 6I 49 204517776.38588768
0 6I 50 188578155.3000465
0 6I 51 173122629.4254432
0 6I 52 158601472.58886486
0 6I 53 146024527.54901153
0 6I 54 135750623.0498954
0 6I 55 126068377.01909804
0 6I 56 117074607.69535956
0 6I 57 109456458.08896571
0 6I 58 100521945.02656198
0 6I 59 89750118.31319895
0 6I 60 80204766.60979106
0 6I 61 72528531.92092246
0 6I 62 65787120.385785446
0 6I 63 59810950.21499898
0 6I 64 54517770.25992061
0 6I 65 49920620.60010813
0 6I 66 45621384.688974634
0 6I 67 41186386.87158658
0 6I 68 36666193.83847805
0 6I 69 32033990.730574224
1 2/3E 3 397339637.19802314
1 2/3E 4 385270534.3318269
1 2/3E 5 394425477.0393101
1 2/3E 6 411527020.4471931
1 2/3E 7 420311120.00254166
1 2/3E 8 415611689.4505308
1 2/3E 9 402775560.6738267
1 2/3E 10 387252237.97510463
1 2/3E 11 378638768.6565355
1 2/3E 12 383839121.55500615
1 2/3E 13 395442334.52400744
1 2/3E 14 404675303.88589364
1 2/3E 15 408867466.6659359
1 2/3E 16 402908601.1373069
1 2/3E 17 389804118.8373512
1 2/3E 18 383999479.1254811
1 2/3E 19 386922685.0145353
1 2/3E 20 388344172.692406
1 2/3E 21 388000561.9469104
1 2/3E 22 387136875.0962008
1 2/3E 23 380849265.5423571
1 2/3E 24 372047278.7961564
1 2/3E 25 369129707.2607566
1 2/3E 26 373382749.3528091
1 2/3E 27 381485002.8483825
1 2/3E 28 387416550.00930464
1 2/3E 29 382457743.5073236
1 2/3E 30 366698958.62157345
1 2/3E 31 351106072.31398314
1 2/3E 32 342484877.55563056
1 2/3E 33 341583239.7738427
1 2/3E 34 350057020.3112651
1 2/3E 35 362645156.1383272
1 2/3E 36 365369664.6635946
1 2/3E 37 349331976.7837104
1 2/3E 38 319067592.0307954
1 2/3E 39 290280744.7508718
1 2/3E 40 279318986.1097642
1 2/3E 41 288874560.18084896
1 2/3E 42 306656734.54269826
1 2/3E 43 318186425.8029634
1 2/3E 44 316301259.7380376
1 2/3E 45 302048926.76840746
1 2/3E 46 283710009.6071171
1 2/3E 47 272935531.38399434
1 2/3E 48 274085321.8843695
