Run NumNeurons Group meanFR meanCV
9 11556 4I 8.3457 0.9465
9 11556 5E 8.6612 0.8186
9 11556 5I 9.3382 0.7061
9 11556 6E 0.2991 0.6059
9 11556 6I 8.8798 0.7269
0 15426 all 5.6171 0.6444
0 15426 2/3E 3.4331 0.4875
0 15426 2/3I 7.0137 0.6266
0 15426 4E 2.3323 0.4515
0 15426 4I 8.2778 0.8458
0 15426 5E 9.8852 0.842
0 15426 5I 9.9035 0.7442
0 15426 6E 0.2583 0.4038
0 15426 6I 9.0438 0.754
1 15426 all 5.199 0.6501
1 15426 2/3E 2.9935 0.4221
1 15426 2/3I 6.5248 0.6016
1 15426 4E 1.9418 0.4558
1 15426 4I 7.8148 0.9048
1 15426 5E 9.2995 0.8188
1 15426 5I 9.4117 0.725
1 15426 6E 0.1868 0.5658
1 15426 6I 8.5758 0.7067
2 15426 all 5.3293 0.6388
2 15426 2/3E 3.2002 0.4501
2 15426 2/3I 6.641 0.5952
2 15426 4E 2.1205 0.443
2 15426 4I 8.2037 0.8808
2 15426 5E 9.3512 0.8213
2 15426 5I 9.6721 0.7305
2 15426 6E 0.2347 0.4719
2 15426 6I 8.7677 0.7174
3 15426 all 5.366 0.6601
3 15426 2/3E 3.1639 0.4136
3 15426 2/3I 6.7111 0.6202
3 15426 4E 2.0457 0.4642
3 15426 4I 8.1852 0.9571
3 15426 5E 9.5007 0.8381
3 15426 5I 9.6521 0.7372
3 15426 6E 0.2382 0.4779
3 15426 6I 8.8822 0.7723
4 15426 all 5.6674 0.6759
4 15426 2/3E 3.4331 0.5281
4 15426 2/3I 7.0239 0.6394
4 15426 4E 2.243 0.4635
4 15426 4I 8.6667 0.9175
4 15426 5E 10.0 0.8689
4 15426 5I 9.9891 0.7546
4 15426 6E 0.309 0.4968
4 15426 6I 9.0842 0.7383
5 15426 all 5.539 0.6619
5 15426 2/3E 3.2249 0.4885
5 15426 2/3I 6.7504 0.6074
5 15426 4E 2.1454 0.4484
5 15426 4I 8.2963 0.9669
5 15426 5E 9.9364 0.8754
5 15426 5I 9.9144 0.7855
5 15426 6E 0.2535 0.3429
5 15426 6I 8.9024 0.7802
6 15426 all 5.5196 0.649
6 15426 2/3E 3.3406 0.4881
6 15426 2/3I 6.9436 0.622
6 15426 4E 2.1745 0.4815
6 15426 4I 8.1852 0.8496
6 15426 5E 9.7499 0.8563
6 15426 5I 9.7741 0.7268
6 15426 6E 0.2306 0.4217
6 15426 6I 8.9529 0.7458
7 15426 all 5.1873 0.6693
