Run NumNeurons Group meanFR meanCV
9 11556 6I 10.4671 0.686
0 15426 all 5.3935 0.5704
0 15426 2/3E 3.0743 0.4629
0 15426 2/3I 7.041 0.7785
0 15426 4E 3.7259 0.4801
0 15426 4I 6.3611 0.6309
0 15426 5E 9.7938 0.5714
0 15426 5I 9.2423 0.5314
0 15426 6E 0.0035 
0 15426 6I 7.2458 0.5379
1 15426 all 6.4364 0.5851
1 15426 2/3E 3.5265 0.4583
1 15426 2/3I 8.3111 0.7573
1 15426 4E 3.7715 0.4797
1 15426 4I 6.7685 0.665
1 15426 5E 12.3708 0.6295
1 15426 5I 10.1639 0.5595
1 15426 6E 0.0021 
1 15426 6I 7.7879 0.5466
2 15426 all 4.5615 0.5522
2 15426 2/3E 2.6633 0.4824
2 15426 2/3I 5.8923 0.7047
2 15426 4E 3.6968 0.4585
2 15426 4I 5.9907 0.6249
2 15426 5E 7.7755 0.5355
2 15426 5I 8.643 0.535
2 15426 6E 0.0007 
2 15426 6I 6.9259 0.5241
3 15426 all 7.0454 0.6355
3 15426 2/3E 4.7683 0.4273
3 15426 2/3I 10.3675 1.0077
3 15426 4E 3.8401 0.4729
3 15426 4I 7.1111 0.6505
3 15426 5E 12.4701 0.8016
3 15426 5I 11.1603 0.567
3 15426 6E 0.0111 
3 15426 6I 8.064 0.5216
4 15426 all 7.4839 0.6498
4 15426 2/3E 5.2772 0.4985
4 15426 2/3I 10.9966 0.999
4 15426 4E 3.7175 0.4526
4 15426 4I 7.8704 0.646
4 15426 5E 13.1998 0.7372
4 15426 5I 11.5519 0.6312
4 15426 6E 0.0069 
4 15426 6I 8.5185 0.584
5 15426 all 6.4526 0.5805
5 15426 2/3E 4.4314 0.4676
5 15426 2/3I 9.4598 0.7973
5 15426 4E 3.622 0.4732
5 15426 4I 7.3519 0.7149
5 15426 5E 11.3118 0.5214
5 15426 5I 9.8525 0.5556
5 15426 6E 0.0014 
5 15426 6I 8.0606 0.5338
6 15426 all 5.4945 0.5784
6 15426 2/3E 3.7163 0.4375
6 15426 2/3I 7.2376 0.7917
6 15426 4E 3.5493 0.5072
6 15426 4I 7.1019 0.6671
6 15426 5E 9.3562 0.5785
6 15426 5I 9.6321 0.5492
6 15426 6E 0.0014 
6 15426 6I 7.5455 0.5177
7 15426 all 6.2356 0.6364
7 15426 2/3E 3.8025 0.4854
7 15426 2/3I 8.4137 0.9028
7 15426 4E 3.8588 0.4817
7 15426 4I 7.0 0.6936
7 15426 5E 11.3045 0.7221
7 15426 5I 10.2896 0.5825
7 15426 6E 0.0153 
7 15426 6I 7.7811 0.5865
8 15426 all 6.1075 0.6037
8 15426 2/3E 4.594 0.509
8 15426 2/3I 8.6974 0.8701
8 15426 4E 3.3209 0.4669
8 15426 4I 7.1759 0.7254
8 15426 5E 10.2382 0.5412
8 15426 5I 9.7468 0.5744
8 15426 6E 0.0021 
8 15426 6I 8.1178 0.5388
9 15426 all 4.9758 0.5497
